mID,nsites,formula,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij
mp-22205,4,InN,6mm,186,64.41492252823848,3.58388188,3.58388188,5.79093223,90.00000000,90.00000000,120.00000002,2.158723
mp-560588,4,ZnS,6mm,186,81.07432083294236,3.85106517,3.85106560,6.31234733,90.00000000,90.00000000,119.99999641,0.08771
mp-1070,4,CdSe,6mm,186,119.89336872302735,4.39395066,4.39395066,7.17057826,90.00000000,90.00000000,120.00000003,0.15706
mp-380,4,ZnSe,6mm,186,94.8044294904855,4.05352711,4.05352711,6.66241734,90.00000000,90.00000000,119.99999995,0.0587
mp-8883,4,GaAs,6mm,186,95.0454715518683,4.05346599,4.05346599,6.67955809,90.00000000,90.00000000,120.00000007,0.50648
mp-20663,6,TmCuPb,6mm,186,132.6993626474684,4.58692673,4.58692672,7.28273655,90.00000000,90.00000000,119.99999997,0.48507
mp-567503,6,PbI2,6mm,186,298.18273027066107,4.66186314,4.66186336,15.84283098,90.00000000,90.00000000,119.99999845,0.002024
mp-12433,6,NaSnN,6mm,186,108.22632510121181,3.36694749,3.36694749,11.02375604,90.00000000,90.00000000,120.00000007,0.42521
mp-505589,9,BaYFeCuO5,4mm,99,120.81338495596728,3.89946507,3.89946507,7.94520274,90.00000000,90.00000000,90.00000000,2.49392
mp-550469,10,TiZn(BiO3)2,4mm,99,142.43136003177352,3.78227521,3.78227091,9.95634329,90.00000000,90.00000000,90.00000000,1.6781
mp-550998,10,TiZn(BiO3)2,4mm,99,140.3623275508053,4.99544504,5.30076226,5.30075888,90.00000000,90.00000000,90.00013690,1.751137
mp-39542,10,KRb2ZrOF5,4mm,107,202.48663037325204,6.60218971,6.60219040,6.56985931,60.16185365,60.16185611,59.67627997,0.389381
mp-690635,10,K2NaVOF5,4mm,107,150.44689854544708,5.95471714,6.00107559,5.95471665,59.74212733,60.51573357,59.74212838,0.52847
mp-40143,10,Cs2KZrOF5,4mm,107,212.49607208045657,6.70809316,6.67858521,6.70809340,60.14540979,59.70917571,60.14540900,0.12394
mp-40204,10,KZrTl2OF5,4mm,107,200.1866169666892,6.59698976,6.59698991,6.50752850,60.44758464,60.44758315,59.10482034,0.844677
mp-42022,10,Cs2RbZrOF5,4mm,107,225.06263558073363,6.83558255,6.81204708,6.83558198,60.11383097,59.77233541,60.11383079,0.11868
mp-42190,10,K2NaTiOF5,4mm,107,152.04174636483316,5.99689083,5.97906424,5.99689076,60.09828570,59.80343646,60.09827755,0.58772
mp-42227,10,Cs2ZrTlOF5,4mm,107,225.54454819036553,6.81961635,6.85893162,6.81961697,59.80910797,60.38177472,59.80910769,0.327353
mp-28423,10,Ga2TeSe2,4mm,109,303.91472658553994,7.43501545,7.43501545,7.60693112,119.25517628,119.25517633,90.00000003,0.045751
mp-19241,10,BaNiO3,6mm,186,136.90259709894067,5.72260255,5.72260254,4.82718438,90.00000000,90.00000000,119.99999998,27.4628
mp-770252,10,CaNiO3,6mm,186,111.93040491817698,5.19502607,5.19500647,4.78897228,89.99931617,89.99996627,119.99970385,0.07622
mp-563025,12,Na6PbO5,4mm,107,184.53584219432645,6.02209371,6.30155070,6.30155047,76.80193035,61.45647030,61.45646505,2.74012
mp-760402,12,TaRhO4,4mm,109,139.51720284041238,5.67313830,5.67313830,5.67313830,73.28184440,106.71815560,64.87009810,0.6507
mp-760396,12,TaAlO4,4mm,109,127.51754556057163,5.50194449,5.50194449,5.50194449,72.89611071,107.10388929,65.68269623,1.03034
mp-761390,12,TaFeO4,4mm,109,138.338529392144,5.65229987,5.65229987,5.65229987,72.77266792,107.22733208,65.94128739,0.91195
mp-761341,12,TiVO4,4mm,109,126.35107686616499,5.48215698,5.48215698,5.48215698,72.52143677,107.47856323,66.46544371,2.90685
mp-766842,12,TaCrO4,4mm,109,135.83581785138443,5.61855742,5.61855742,5.61855742,72.83760759,107.16239241,65.80533690,0.43279
mp-774003,12,VRhO4,4mm,109,127.37368297746066,5.50387994,5.50387994,5.50387994,73.31654027,106.68345973,64.79666254,2.502636
mp-776939,12,LiVF4,4mm,109,137.80920615961375,5.64252787,5.64252787,5.64252787,107.55814086,107.55814086,113.36911633,0.033638
mp-772246,12,TaVO4,4mm,109,138.76390182549494,5.65806434,5.65806434,5.65806434,72.76993689,107.23006311,65.94700058,0.10515
mp-756638,12,NbRhO4,4mm,109,140.62637198294053,5.69074603,5.69074603,5.69074603,73.51713523,106.48286477,64.37095646,0.79732
mp-765437,12,NbCrO4,4mm,109,137.2277324447662,5.63839654,5.63839654,5.63839654,72.91853791,107.08146209,65.63564021,0.967463
mp-765436,12,FeSbO4,4mm,109,138.47684769086771,5.64976180,5.64976180,5.64976180,72.15518455,107.84481545,67.22457753,0.13945
mp-569994,12,CdI2,6mm,186,481.1726747331583,4.33230805,4.33230831,29.60272088,90.00000000,90.00000000,119.99999795,0.002258
mp-7631,12,SiC,6mm,186,125.95656275957467,3.09488410,3.09488410,15.18453125,90.00000000,90.00000000,120.00000002,0.03525
mp-567542,12,PbI2,6mm,186,560.8512989646024,4.67131036,4.67131058,29.67834133,90.00000000,90.00000000,119.99999841,0.004737
mp-545974,12,AlPO4,6mm,186,214.89076388224188,5.33597370,5.33597357,8.71484255,89.99998653,90.00003701,119.99994920,0.36332
mp-23794,12,H4NF,6mm,186,123.38353879276075,4.44997589,4.44997589,7.19467655,90.00000000,90.00000000,119.99999992,0.08069
mp-644223,12,LiBH4,6mm,186,101.5310430727155,4.18003883,4.17996759,6.70992170,90.00000000,90.00000000,120.00056369,0.07801
mp-643378,13,CuH4Pb2(ClO2)2,4mm,99,198.00577393208843,5.96629987,5.96629987,5.56247023,90.00000000,90.00000000,90.00000000,0.070602
mp-765135,6,WOF4,4,79,101.12246856839732,3.93039671,5.43969811,5.43969811,97.49940118,111.17819603,68.82180397,2.89625
mp-568100,6,ReNCl4,4,79,159.0434445640905,4.10565250,6.55376029,6.55375981,84.36952061,71.74608893,71.74608407,0.38161
mp-27529,8,PI3,6,173,406.9525098216965,7.46484375,7.46484375,8.43279719,90.00000000,90.00000000,119.99999994,0.054052
mp-699343,10,Li4MoO5,4,79,93.07746794415715,14.93692469,7.93225133,5.13244903,29.33792464,30.00133683,18.87351206,2.27252
mp-690542,10,Li4WO5,4,79,92.27800879365542,14.73212786,7.74840602,5.17550306,28.92635087,29.99607769,19.50516799,6.52334
mp-22955,10,LiIO3,6,173,140.42016491341295,5.54001892,5.54001014,5.28296465,89.99995599,89.99985356,120.00015207,0.963214
mp-613442,10,LiIO3,6,173,139.666134787681,5.54457534,5.54457543,5.24594696,90.00000000,90.00000000,119.99999947,0.955902
mp-36582,3,NaHS,3m,160,52.59360185367453,3.97196560,3.97196520,3.97196551,68.89581961,68.89581636,68.89581459,0.285696
mp-625051,3,NaHO,3m,160,31.251516742981362,3.33554970,3.78364116,3.78364116,60.00000000,55.44694950,55.44694950,1.05861
mp-625052,3,NaHO,3m,160,31.251516742981362,3.33554970,3.78364116,3.78364116,60.00000000,55.44694950,55.44694950,1.058611
mp-6980,4,ScCuS2,3m,156,73.28913124598185,3.75108815,3.75108815,6.01442899,90.00000000,90.00000000,119.99999993,0.556781
mp-546500,4,NaCNO,3m,160,59.162140791177706,5.49080266,5.49080295,5.49080287,39.07587993,39.07587605,39.07587379,0.187744
mp-35695,4,Li2HN,3m,160,34.09271059117304,3.67729976,3.60310091,3.60310096,60.00000447,60.66526556,60.66526512,0.82297
mp-24927,4,CrHO2,3m,160,36.395203708930154,4.82760941,4.82760941,4.82760941,36.93338141,36.93338144,36.93338141,4.23353
mp-774147,4,FeHO2,3m,156,38.91703625723404,3.07452377,3.07458780,4.75388659,90.00703545,89.99574876,120.00101467,0.92595
mp-34078,5,H3ClO,3m,160,63.73117560036553,4.19998347,4.19998348,4.19998362,70.49399367,70.49398792,70.49398737,0.156802
mp-625509,5,H3BrO,3m,160,70.39685964392828,4.29927141,4.29927141,4.29927158,72.57868755,72.57868755,72.57868184,0.135593
mp-755483,5,Al2O3,3m,160,46.53615463336761,3.03472800,6.09211387,3.03472840,104.42250151,60.00000433,104.42249806,0.179883
mp-938,2,GeTe,3m,160,56.2649656275286,4.37516431,4.37516431,4.37516431,57.82672805,57.82672802,57.82672810,2.134628
mp-22965,3,BiTeI,3m,156,125.12319337452807,4.42519434,4.42519434,7.37806524,90.00000000,90.00000000,119.99999997,0.275163
mp-38011,3,KHS,3m,160,71.05406383056688,4.35671173,4.35671188,4.35671206,70.41702547,70.41702302,70.41702214,0.129185
mp-33723,3,BiTeBr,3m,156,113.71956305822705,4.35790067,4.35790030,6.91432749,90.00000000,90.00000000,120.00000287,0.29413
mp-568177,4,CaAlSiH,3m,156,69.84785403251556,4.14327999,4.14327999,4.69822565,90.00000000,90.00000000,120.00000010,1.04529
mp-571093,4,BaAlSiH,3m,156,85.61510186360121,4.33422711,4.33422721,5.26255206,90.00000000,90.00000000,119.99999935,0.33052
mp-570485,4,SrAlSiH,3m,156,76.91066948977229,4.22939098,4.22939062,4.96478378,90.00000000,90.00000000,120.00000279,0.66826
mp-7885,4,AlAgS2,3m,156,74.87495793633363,3.54026373,3.54026372,6.89818328,90.00000000,90.00000000,119.99999998,1.599
mp-36209,4,TmCuSe2,3m,156,91.35145259049878,4.06411706,4.06411727,6.38634504,90.00000000,90.00000000,119.99999829,0.369136
mp-675180,4,ErCuSe2,3m,156,91.39033245965607,4.11808898,4.11808910,6.22268986,90.00000000,90.00000000,119.99999904,0.385767
mp-675349,4,DyCuSe2,3m,156,93.3091092444826,4.09842299,4.09842315,6.41445601,90.00000000,90.00000000,119.99999864,0.3836
mp-675902,4,YCuSe2,3m,156,94.81248639637003,4.11266012,4.11265990,6.47275688,90.00000000,90.00000000,120.00000175,0.366078
mp-24942,5,FeBiO3,3m,160,67.59406442424856,4.07496699,4.07496699,4.07496699,88.45806532,88.45806531,88.45806529,2.862757
mp-5020,5,BaTiO3,3m,160,67.77274675012757,4.07715918,4.07715918,4.07715917,89.69902153,89.69902161,89.69902150,3.812244
mp-6920,5,KNO3,3m,160,81.6906958512951,4.43509166,4.43509165,4.43509165,77.33452302,77.33452308,77.33452295,0.22158
mp-22958,5,KBrO3,3m,160,92.15892883405083,4.54174623,4.54174623,4.54174624,83.81650206,83.81650212,83.81650211,0.6837
mp-23011,5,RbClO3,3m,160,95.64284155371192,4.59708671,4.59708671,4.59708671,83.96766493,83.96766488,83.96766492,0.44003
mp-7375,5,KNbO3,3m,160,68.41838398576652,4.09003472,4.09003472,4.09003472,89.79684296,89.79684292,89.79684294,4.653448
mp-28872,5,RbBrO3,3m,160,98.23045330624687,4.62563447,4.62563448,4.62563448,85.85246516,85.85246520,85.85246511,0.61957
mp-29738,5,TlClO3,3m,160,94.23295317502958,4.57492797,4.57492797,4.57492797,83.89769474,83.89769468,83.89769473,0.63726
mp-27193,5,RbIO3,3m,160,99.07158701025777,4.62820940,4.62820940,4.62820940,88.78303293,88.78303292,88.78303290,0.95213
mp-552729,5,KIO3,3m,160,93.02606456128588,4.53228919,4.53228878,4.53213893,88.69347121,88.69347132,88.69369569,1.35995
mp-4559,5,BaCO3,3m,160,79.43796356775395,4.43165405,4.43165405,4.43165405,74.96485535,74.96485541,74.96485538,0.44322
mp-755018,5,RbTaO3,3m,160,68.05079779891717,4.08267158,4.08267186,4.08267196,89.96932723,89.96933476,89.96933721,8.92597
mp-766864,8,LiVF6,3m,156,136.18621312880435,5.68537954,5.68560590,4.84209403,90.23157874,90.23108022,60.47009512,0.416915
mp-23162,3,ZrCl2,3m,160,69.81976961630806,7.18200283,7.18200283,7.18200283,27.52188336,27.52188342,27.52188334,0.118515
mp-1434,3,MoS2,3m,160,62.649333428391216,7.34095260,7.34095259,7.34095260,25.10311907,25.10311914,25.10311910,0.515565
mp-22691,4,InSe,3m,160,130.16239172462355,9.26979842,9.26979842,9.26979842,25.52074377,25.52074374,25.52074377,0.094153
mp-3532,4,CrAgSe2,3m,160,86.33006689462783,7.37075771,7.37075771,7.37075771,29.57084833,29.57084834,29.57084832,0.193474
mp-4182,4,CrAgS2,3m,160,74.19198177101208,7.10786784,7.10786784,7.10786784,28.90378080,28.90378075,28.90378081,0.591104
mp-22981,5,TlIO3,3m,160,96.39528310021193,4.58640003,4.58640003,4.58640003,88.64274926,88.64274924,88.64274927,1.55078
mp-8612,5,Sb2TeSe2,3m,160,152.58788318755205,10.47899721,10.47899721,10.47899720,22.87566003,22.87566005,22.87566003,0.849504
mp-28873,5,CsBrO3,3m,160,109.80626308893373,4.79284017,4.79284017,4.79284017,87.55841512,87.55841519,87.55841515,0.3351
mp-29798,5,TlBrO3,3m,160,98.01916379230913,4.63004051,4.63004051,4.63004052,84.61645973,84.61645983,84.61645981,0.72935
mp-550506,5,KClO3,3m,160,89.14767438068202,4.52920243,4.52971179,4.52971185,80.01566392,80.01390740,80.01390362,0.43672
mp-760386,5,CsClO3,3m,160,109.07693550637468,4.79020537,4.78993323,4.78993353,85.84407508,85.84466260,85.84466262,0.33777
mp-22253,7,Zn(InS2)2,3m,156,168.85367047722482,3.92370729,3.92370729,12.66445984,90.00000000,90.00000000,120.00000006,1.12355
mp-966,3,NbS2,3m,160,66.55471535350185,7.08746250,7.08746250,7.08746250,27.40309567,27.40309566,27.40309570,0.40749
mp-568587,4,CrCuSe2,3m,160,77.31130311351774,6.71570983,6.71570975,6.71570988,32.39954889,32.39954997,32.39954701,0.145057
mp-8196,5,AgNO3,3m,160,66.94304677855587,4.15183603,4.15183604,4.15183603,77.22416135,77.22416130,77.22416139,0.211931
mp-22988,5,CsGeCl3,3m,160,168.03698733462977,5.51827368,5.51827368,5.51827368,89.84399997,89.84400002,89.84399997,0.49535
mp-557510,8,Cu3TeS3Cl,3m,160,162.9837162654474,5.48177990,5.48177992,5.48177986,85.04969338,85.04969334,85.04968507,0.11837
mp-554051,9,H6CNF,3m,160,79.33025234081951,5.23632215,5.23632205,5.23632145,50.73295683,50.73295782,50.73295685,0.154834
mp-568619,10,SiC,3m,156,104.88773240039247,3.09396364,3.09396367,12.65213009,90.00000000,90.00000000,119.99999973,0.090904
mp-30925,10,La(NO2)3,3m,160,137.4917413729927,6.23070702,6.23070702,6.23070701,114.82628921,114.82628929,114.82628916,0.113773
mp-24932,10,FeBiO3,3m,161,129.49887992808928,5.72150609,5.72150610,5.72150609,59.02659977,59.02659980,59.02659977,3.133435
mp-23736,10,LiMgH3,3m,161,94.49164774271195,5.28100409,5.28100408,5.28100409,55.99936267,55.99936272,55.99936268,0.23706
mp-4360,10,NaCdF3,3m,161,151.19634375650728,6.13913484,6.13913484,6.13913484,56.71430641,56.71430640,56.71430641,0.24241
mp-13334,10,ZnSnO3,3m,161,117.57008746667825,5.65912197,5.65912197,5.65912198,56.42809557,56.42809559,56.42809551,0.580169
mp-557515,10,CrBiO3,3m,161,125.34406620284554,5.62901013,5.62901262,5.62900680,59.72941155,59.72938944,59.72938667,2.49227
mp-552185,10,AgNO3,3m,161,136.22689996603012,6.48133183,6.48133924,6.48129528,47.67122269,47.67091066,47.67141757,0.59573
mp-3666,10,LiTaO3,3m,161,109.1333437356025,5.53381920,5.53381920,5.53381920,56.14486292,56.14486288,56.14486290,2.947115
mp-19376,10,TiMnO3,3m,161,111.67261982457812,5.56461201,5.56461200,5.56461201,56.39149014,56.39149021,56.39149018,3.21567
mp-4514,10,NaNbO3,3m,161,125.900406340235,5.67893914,5.67893914,5.67893914,58.78132022,58.78132023,58.78132017,4.049288
mp-551918,10,AlBiO3,3m,161,113.6753336811013,5.45999306,5.46000398,5.46000392,59.45696948,59.45720474,59.45720221,4.11937
mp-8007,10,LiUO3,3m,161,130.5589608609979,5.93316308,5.93316308,5.93316309,55.01501340,55.01501340,55.01501341,2.01461
mp-19270,10,TiFeO3,3m,161,108.99422840844166,5.53240020,5.53240020,5.53240020,56.12530284,56.12530284,56.12530281,2.541761
mp-691106,10,MnSnO3,3m,161,123.16895051167474,5.71070395,5.71070405,5.71070391,57.19098227,57.19098160,57.19097888,0.47956
mp-853130,10,TiNiO3,3m,161,104.07079951132876,5.07517961,5.50930415,5.07517928,117.42588097,59.99999783,117.42588162,2.326601
mp-754323,10,TmBiO3,3m,161,155.42248838053806,5.96712776,6.10516551,5.96712774,119.25484086,59.99999991,119.25484399,4.582136
mp-754009,10,ScBiO3,3m,161,141.5282328081769,5.78308301,5.91903836,5.78313895,119.25455031,59.99415915,119.25427244,3.377523
mp-779948,10,ZrMnO3,3m,161,127.1146498216766,5.81627108,5.81652082,5.81701559,56.26019769,56.26024734,56.26325689,0.631467
mp-754943,10,ErBiO3,3m,161,157.8502006392759,5.99852213,5.99852175,6.13626990,60.73984552,119.26015143,119.99999525,3.472726
mp-755568,10,GaBiO3,3m,161,125.04978818874069,5.64157176,5.58496304,5.58496265,59.99999459,60.33139005,89.99999973,3.050819
mp-764698,10,LiVF3,3m,161,116.96494586661012,5.30271522,5.30242136,5.69539880,62.26063516,62.26564437,60.01025705,0.787095
mp-768221,10,YBiO3,3m,161,160.11285750210467,6.16586646,6.16586646,6.16586683,58.51184320,58.51184320,58.51183286,4.208699
mp-768310,10,LaBiO3,3m,161,174.4400251642014,6.27183982,6.27183982,6.27183979,59.99758945,59.99758945,59.99759029,3.806018
mp-3731,10,LiNbO3,3m,161,111.267063911155,5.59239921,5.59239921,5.59239920,55.67586873,55.67586882,55.67586871,3.416243
mp-29057,11,Nb3SBr7,3m,156,311.6697658231046,7.20381289,7.20381288,6.93488391,90.00000000,90.00000000,119.99999999,0.15005
mp-567713,11,Nb3TeI7,3m,156,375.3468840801618,7.73431471,7.73431459,7.24533571,90.00000000,90.00000000,120.00000049,0.23432
mp-3107,11,Ga3PO7,3m,160,126.23508936434062,5.15268483,5.15268482,5.15268483,102.03470244,102.03470234,102.03470255,0.799294
mp-18775,11,Fe3PO7,3m,160,133.898220360108,5.25253463,5.25253463,5.25253463,101.94476627,101.94476622,101.94476634,0.944385
mp-765198,11,Li3MnF7,3m,160,146.79653078916203,5.74375215,6.11739784,6.11739820,119.99999803,122.17630466,90.00000000,0.274334
mp-765182,11,Li3VF7,3m,160,149.98293045238233,5.80731666,6.13430596,5.80731747,58.11923910,63.76151568,90.00000020,0.272337
mp-849524,11,LiFe3O3F4,3m,160,141.41874087014259,5.37551352,5.37551352,5.37551367,102.87628432,102.87628432,102.87628143,0.8897
mp-571414,12,KNa(BH4)2,3m,156,139.75344045531452,4.70349038,4.70348996,7.29443079,90.00000000,90.00000000,120.00000296,0.16442
mp-570136,12,CuI,3m,156,336.5500783967624,4.16776466,4.16776469,22.37240560,90.00000000,90.00000000,119.99999974,0.01316
mp-680111,12,CdI2,3m,156,480.57373809427474,4.35149053,4.35149079,29.30577978,90.00000000,90.00000000,119.99999792,0.003758
mp-853165,12,Li5CoOF5,3m,156,133.98354935604092,3.21177737,3.21137077,14.99989554,89.99996389,90.00161353,120.00074751,0.86183
mp-765877,12,Li5NiOF5,3m,156,133.07895418534974,3.17807417,3.17774674,15.21530340,89.99999817,89.96093889,119.99658237,0.73585
mp-764320,12,Li5MnOF5,3m,156,140.57137967531796,3.29727269,3.29885809,14.92510462,89.99999852,90.01296327,120.01589734,1.05881
mp-775808,12,MgO,3m,156,147.17636814291865,3.29264091,3.29264144,15.67592858,90.00060510,89.99940200,120.00334431,1.34607
mp-23771,13,SmH3(CO2)3,3m,160,132.7305920122953,6.27869297,6.27869297,6.27869297,115.44565785,115.44565781,115.44565769,0.20773
mp-23837,13,NdH3(CO2)3,3m,160,136.25159728301887,6.32876384,6.32876384,6.32876384,115.42230020,115.42230021,115.42230018,0.23377
mp-642991,13,TbH3(CO2)3,3m,160,126.37138376210274,6.19638071,6.19638071,6.19638017,115.53873078,115.53873078,115.53872453,0.32589
mp-642729,13,LaH3(CO2)3,3m,160,141.92444887982163,6.42243865,6.42243865,6.42243876,115.45490374,115.45490374,115.45490190,0.26565
mp-642999,13,TmH3(CO2)3,3m,160,122.236749499089,6.12864625,6.12864625,6.12864616,115.54154347,115.54154347,115.54154513,0.28337
mp-780876,13,Li6Fe(OF)3,3m,160,152.65024088726932,5.44591517,5.44591517,5.44591530,100.27294841,100.27294841,100.27294592,0.586806
mp-567313,3,Te,32,154,104.55287726517192,4.49304435,4.49304435,5.98031343,90.00000000,90.00000000,119.99999993,1.23232
mp-766917,8,LiVF6,32,149,98.75109953030592,4.96015558,4.95976536,4.63477396,89.93036589,90.05951779,60.00626770,0.122505
mp-559092,4,ScF3,32,155,67.35611188767281,4.06874979,4.06874907,4.06874943,89.82848458,89.82848465,89.82847471,0.11791
mp-676851,5,KNO3,32,155,90.53277827836494,4.64186492,4.64186503,4.64186505,74.26837863,74.26837821,74.26837732,0.124015
mp-752446,5,RbNO3,32,155,101.42668867397839,4.70898061,4.70898061,4.70898061,98.29982043,81.70017957,98.29982043,0.129065
mp-676561,5,Ag3SI,32,155,124.86938370090161,8.70921141,4.99904013,4.99904066,88.99214430,53.54528968,54.97074208,0.28736
mp-358,6,HgTe,32,152,200.51546601615823,4.71525606,4.71525606,10.41373881,90.00000000,90.00000000,120.00000002,0.57447
mp-27816,7,Ag3BO3,32,155,99.18943607394233,5.95965980,5.95965981,5.95965981,116.59027645,116.59027646,116.59027645,0.138375
mp-19,3,Te,32,152,105.09443753138906,4.51237418,4.51237418,5.95989883,90.00000000,90.00000000,120.00000001,1.185505
mp-675022,5,CsPbCl3,32,155,188.33502158219946,5.73234715,5.73234715,5.73234715,89.41977317,90.58022683,90.58022683,0.23539
mp-557733,9,KNiIO6,32,149,133.83556842361435,5.02203946,5.02203908,6.12746329,90.00000000,90.00000000,120.00000247,0.17585
mp-549697,9,RbGeIO6,32,149,147.8171608013256,5.11429060,5.11438481,6.52555225,89.99949125,90.00102171,120.00042270,0.00461
mp-10341,9,SrGeTeO6,32,149,126.14829829903111,5.14922823,5.14922824,5.49371950,90.00000000,90.00000000,120.00000003,0.06176
mp-561926,9,NaNiIO6,32,149,114.68486688705104,4.99548948,4.99570303,5.30655499,90.00172634,89.99684255,120.00270700,0.19725
mp-4829,9,Na2ThF6,32,150,123.79795141048034,6.07842569,6.07842569,3.86901669,90.00000000,90.00000000,119.99999997,0.16502
mp-7000,9,SiO2,32,152,120.33569695335169,5.02150235,5.02150235,5.51056977,90.00000000,90.00000000,119.99999995,0.13685
mp-733,9,GeO2,32,152,129.14456331315466,5.08836005,5.08836004,5.75956692,90.00000000,90.00000000,119.99999999,0.16245
mp-553432,9,TiO2,32,152,167.36456525369286,5.61627743,5.61627701,6.12682986,90.00000000,90.00000000,120.00000254,0.05735
mp-15951,9,BeF2,32,152,105.3551366741603,4.80803775,4.80803774,5.26246652,90.00000000,90.00000000,119.99999997,0.066455
mp-754629,9,WN2,32,152,183.16947022446058,5.77930034,5.78145085,6.33070105,89.98773688,90.02632769,120.00945938,0.107765
mp-6930,9,SiO2,32,154,120.21179347680075,5.01978486,5.01978486,5.50866340,90.00000000,90.00000000,120.00000000,0.137425
mp-555760,9,S,32,154,271.7007418052291,8.44086816,8.44086773,4.40337820,90.00000000,90.00000000,120.00000169,0.005205
mp-223,9,GeO2,32,154,128.9141583614399,5.08372319,5.08372319,5.75978398,90.00000000,90.00000000,119.99999994,0.17605
mp-549166,9,SiO2,32,154,117.92537435235172,4.98529300,4.98531282,5.47852971,90.00144918,89.99868414,119.99325631,0.144775
mp-6870,9,KBe2BO3F2,32,155,111.4799081988128,6.97543520,6.97543521,6.97543520,37.25187924,37.25187922,37.25187920,0.00761
mp-546546,9,SiO2,32,155,146.6163588542827,5.32452716,5.32482171,5.32459556,97.57861567,97.57864093,97.57781524,0.004145
mp-7323,9,RbBe2BO3F2,32,155,118.16371397545684,4.47228888,4.47242855,7.29177959,107.81839624,90.00000000,119.99896698,0.00916
mp-553342,9,CsBe2BO3F2,32,155,126.28212375287548,4.49200434,4.49200417,7.69128293,72.71177638,72.71177729,60.03361150,0.01985
mp-755367,10,LiTa2CuO6,32,155,111.6691995976304,5.57871416,5.57888203,5.57878988,56.09836183,56.09076665,56.09326512,1.671605
mp-568116,11,Lu2(CN2)3,32,155,168.40600985767733,6.16302846,6.16302813,6.16302855,60.77112181,60.77112343,60.77111970,0.093035
mp-614803,12,Cs2TeO3,32,150,334.3032506790863,6.91486294,6.91486249,8.07314686,90.00000000,90.00000000,120.00000215,0.56803
mp-24948,12,RbFe(SeO4)2,32,150,213.13243646516477,5.25954934,5.25954934,8.89655465,90.00000000,90.00000000,120.00000000,0.025005
mp-669367,12,KAl(SO4)2,32,150,170.8867533682952,4.91019375,4.91019408,8.18427982,90.00000000,90.00000000,119.99999770,0.111415
mp-4453,12,TlNO2,32,152,213.34359295290935,5.70338461,5.70338461,7.57327373,90.00000000,90.00000000,119.99999996,0.231725
mp-3288,12,CsNO2,32,152,258.8809371004446,6.07636725,6.07636726,8.09620341,90.00000000,90.00000000,120.00000000,0.027495
mp-19086,12,BaCoO2,32,152,209.54482203535497,5.96314709,5.96314708,6.80448496,90.00000000,90.00000000,119.99999999,0.6025
mp-4236,12,BaZnO2,32,152,210.88400210448637,5.97230086,5.97230086,6.82699600,90.00000000,90.00000000,120.00000002,0.694305
mp-752580,12,RbNO2,32,152,221.55424513222482,5.78213881,5.78213947,7.65195401,90.00000000,90.00000000,119.99999618,0.00657
mp-756018,12,BaMgO2,32,152,211.45886579918357,5.97535980,5.97552211,6.83851010,90.00442426,89.99632326,120.00140369,0.586155
mp-9844,12,BaAl2B2O7,32,155,183.86882355650323,8.80915420,8.80915420,8.80915420,33.34059126,33.34059127,33.34059124,0.27324
mp-556120,12,RbTl(SO4)2,32,155,191.47442332199202,9.26504968,9.26505006,9.26505057,31.38542876,31.38542504,31.38542551,0.352575
mp-12885,12,BaAl2Sb2O7,32,155,214.9552199306742,8.76911007,8.76911008,8.76911008,36.63099229,36.63099223,36.63099228,0.190415
mp-15939,12,SrAl2B2O7,32,155,171.9356346574497,8.61226864,8.61226865,8.61226865,33.35354975,33.35354974,33.35354973,0.32447
mp-22995,5,Ag3SI,3,146,121.85550996289857,4.95772310,4.95772310,4.95772310,89.90935692,89.90935692,89.90935692,0.150167
mp-571195,6,ZnTe,3,144,177.25641704832378,4.37263364,4.37263390,10.70496168,90.00000000,90.00000000,119.99999803,0.14477
mp-571558,9,HgBr2,3,143,305.1210436842898,7.18384247,7.18384241,6.82696904,90.00000000,90.00000000,120.00000027,0.02177
mp-776922,9,Rb2O,3,143,312.81609008212166,7.39369001,9.91422548,9.91673893,80.40135639,68.09886433,138.16873258,0.005903
mp-776952,9,Na2O,3,143,123.02423801979008,6.19337403,7.21580510,7.21499588,96.03101266,64.60223360,149.13364802,9.61902
mp-38975,9,PNO,3,145,104.65877544524129,4.78361171,4.78361184,5.28120664,90.00000000,90.00000000,119.99999905,0.254865
mp-559001,10,CrFe(BiO3)2,3,146,126.57283775445846,5.65835065,5.65840839,5.65829910,59.47529218,59.47624955,59.47432752,2.77096
mp-18753,10,Na3Mo(OF)3,3,146,139.36074689679918,5.95260993,5.95260993,5.95260993,57.15283063,57.15283067,57.15283067,0.5586
mp-39681,10,NaTi2BiO6,3,146,121.46554534154264,5.60509998,5.60509995,5.60510043,58.92548138,58.92548490,58.92548205,4.66601
mp-774149,10,Li2CrWO6,3,146,100.90934666850444,5.36144605,5.35992599,9.42926863,28.41067812,51.50907036,56.81395254,2.56954
mp-770690,10,Mn3TeO6,3,146,121.95833446542866,5.70294173,5.70294173,5.70294122,56.95979718,56.95979723,56.95980249,0.96662
mp-776740,10,Li2MnWO6,3,146,99.83440953068805,5.33248567,5.33254560,9.37214124,28.50562429,51.71500949,57.01215158,2.16736
mp-755478,10,CdBiO3,3,146,152.35221764721388,5.89793158,5.89791198,6.09703100,61.07327218,118.92406708,120.00560618,0.602898
